genus,english_vernacular,chinese_vernacular,kimi_label,success,error
Mycodiplosis,rust-eating midges,咖啡锈菌瘿蚊; 锈菌瘿蚊属,Flies,True,
Myzus,green peach aphid; shallot aphid; black cherry aphid; ornate aphid; cherry blackfly; violet aphid; daylily aphid; green peach-aphid; loosestrife aphid; purple loosestrife aphid; privet aphid; peach-clematis aphid; pinks aphid; cymbalaria aphid; bedstraw witches-broom aphid; tobacco aphid,冬葱瘤额蚜; 堇菜瘤蚜; 杏瘤蚜; 桃纵卷叶蚜; 桃蚜; 梅瘤蚜; 瘤蚜属; 瘤蚜屬; 瘤额蚜属; 穆沙瘤蚜; 荨麻瘤蚜; 黄药子瘤蚜,Aphids,True,
Neoclytus,red-headed ash borer; banded ash borer; vogt's spine-rumped bycid; western red-headed ash borer; eastern red-headed ash borer; western ash borer; split-necked neoclytus,none,Beetles,True,
Neopinnaspis,harper scale,none,Scales,True,
Neoscona,hentz's orbweaver; barn spider; arabesque orbweaver; red-femured spotted orbweaver; spotted orbweaver; spotted orbweavers; western spotted orbweaver; marsh orbweaver; bordered orbweaver; hairy field spiders; orizaba spotted orbweaver; brown sailor spider; common web-spider; theisi's neoscona orb-web spider; blondel's neoscona orb-web spider; green hairy field spider; common hairy field spider; theisi's hairy field spider; red-spot hairy field spider; grass neoscona spider; hirta hairy field spider; blondeli's hairy field spider; albert's hairy field spider; spotted orb weaver; pointillist neoscona; neoscona hairy field spiders; theis's hairy field spider; beautiful orbweb spider,丰满新园蛛; 丰满新圆蛛; 勐海新园蛛; 勐海新園蛛; 卵形园蛛; 卵形園蛛 (卵形鬼蛛); 卵形姬鬼蛛; 嗜水新园蛛; 嗜水新園蛛; 多摺新園蛛; 多褶新园蛛; 姬鬼蛛屬; 小青姬鬼蛛; 拟嗜水新园蛛; 拟嗜水新圆蛛; 斑点圆蛛; 斑腳姬鬼蛛; 新园蛛属; 新園蛛屬; 星條姬鬼蛛; 景洪新园蛛; 梅氏新园蛛; 梅氏新園蛛 (黑側綠姬鬼蛛); 橢圓新園蛛; 水苇纺蛛; 清新園蛛 (野姬鬼蛛); 灌木新园蛛; 灌木新園蛛; 畏新園蛛; 白緣姬鬼蛛; 簷下姬鬼蛛; 类青新园蛛; 線紋姬鬼蛛; 绿腹新圆蛛; 苇纺蛛属; 苦野园蛛; 苦野園蛛; 茶色姬鬼蛛; 茶色新园蛛; 茶色新園蛛; 褐斑姬鬼蛛; 西山新园蛛; 警戒新园蛛; 警戒新園蛛; 豐滿新園蛛; 赤腳姬鬼蛛; 青新园蛛; 青新園蛛; 類青新園蛛; 黃姬鬼蛛; 黃邊綠姬鬼蛛,Spiders,True,
Neotrichoporoides,none,长缘啮小蜂属,Wasps,True,
Neurocolpus,clouded plant bug; banded-tibial neurocolpus,none,Bugs,True,
Dacus,small cucurbit fly; large cucurbit-fly; milkweed fruit fly; stapeliad-stem fly; greater pumpkin fly; lesser cucurbit fly; milkweed fruitfly; true dacus,三点棍腹实蝇; 东方棍腹实蝇; 中华棍腹实蝇; 台湾棍腹实蝇; 圆斑棍腹实蝇; 寡毛实蝇属; 寡毛實蠅屬; 对刺棍腹实蝇; 尖槐藤棍腹实蝇; 海南寡鬃实蝇; 版纳棍腹实蝇; 瓜棍腹实蝇; 端纹棍腹实蝇; 越南棍腹实蝇,Flies,True,
Drassodes,marvelous ground hunter; stone ground-spider; common ground-spider; neglected ground hunter spider; stone spiders,掠蛛属; 石掠蛛; 纳塔利掠蛛; 锯齿掠蛛,Spiders,True,
Drepana,arched hooktip; dusky hook-tip; pebble hook-tip; arched hooktip moth,一点镰钩蛾; 一點鉤蛾; 赤杨镰钩蛾; 镰钩蛾属,Moths,True,
Eacles,imperial moth; oslar's imperial moth; imperial moths; texas imperial moth; canadian imperial moth; pine imperial moth,none,Moths,True,
Ectemnius,common ectemnius; garden ectemnius; large ectemnius; woodland ectemnius,切方头泥蜂属; 切方頭泥蜂屬; 横皱切方头泥蜂; 纵皱切方头泥蜂; 连续切方头泥蜂,Wasps,True,
Eidolon,straw-colored fruit bat; madagascan fruit bat; straw-coloured fruit bat; straw-coloured fruit bats; african straw-coloured fruit bat; african straw-colored fruit bat; strawcolour fruit bat; annobón straw-coloured fruit bat; annobón straw-colored fruit bat; common straw-coloured fruit bat; common straw-colored fruit bat; arabian straw-coloured fruit bat; arabian straw-colored fruit bat; madagascar fruit bat; madagascar straw-coloured fruit bat; madagascar straw-colored fruit bat; madagascan straw-coloured fruit bat; madagascan straw-colored fruit bat,马岛黄毛果蝠; 黄毛果蝠; 黄毛果蝠属,Bats,True,
Empoasca,potato leafhopper; steven's leafhopper,小綠葉蟬; 小绿叶蝉; 小绿叶蝉属; 松村叶蝉亚属,Leafhoppers,True,
Enoclerus,red-bellied clerid; redbellied clerid; orange-banded clerid; handsome yucca beetle; blackbellied clerid; white-belted enoclerus; reddish checkered beetle; red-girdled gray enoclerus; orange tamaulipan enoclerus,none,Beetles,True,
Eucallipterus,lime leaf aphid; linden aphid,居椴真斑蚜; 真斑蚜属,Aphids,True,
Eudocimus,scarlet ibis; white ibis; american white ibis; white × scarlet ibis; white and scarlet ibises; american white and scarlet ibises; white x scarlet ibis (hybrid); american white × scarlet ibis; northern white ibis; southern white ibis,美州紅鹮; 美洲䴉屬; 美洲白䴉; 美洲白鹮; 美洲白鹮x美洲红鹮; 美洲红鹮; 美洲鹮属,Birds,True,
Franklinothrips,vespiform thrips,大长角蓟马; 斯氏長角薊馬; 斯氏长角蓟马; 蜂形長角薊馬; 蜂形长角蓟马; 长角蓟马属,Thrips,True,
Bolla,golden-headed bolla; spatulate sootywing; guerrero sootywing; pine-oak bolla; fin-tipped sootywing; checkered sootywing; veracruzan sootywing; cyclops sootywing; atahuallpai sootywing; copper-headed sootywing; hook-tipped sootywing; rough-tipped sootywing; rounded sootywing; obscure sootywing; orizaba sootywing; bolivian sootywing; oaxacan sootywing; solitary sootywing; zorilla sootywing; grizzled sootywing; checkered scallopwing,none,Butterflies,True,
Brachysomida,double-lined longhorn beetle; black-winged long-horned beetle,none,Beetles,True,
Caenaugochlora,unarmed green-sweat bee,none,Bees,True,
Caligo,pale owl-butterfly; fruhstorfer's owl-butterfly; owl-butterflies; gold-edged owl-butterfly; dark owl-butterfly; dusky owl-butterfly; oileus owl-butterfly; banded owl-butterfly; purple owl-butterfly; giant owl; pale owl; teucer owl butterfly; forest giant owl; illioneus giant owl; boomerang owl; teucer owl-butterfly,猫头鹰环蝶属; 黑猫头鹰环蝶,Butterflies,True,
Calosoma,fiery searcher; black calosoma; caterpillar-hunter beetles; caterpillar hunter; narrow searcher beetle; green carab beetle; lesser searcher beetle; caterpillar-hunter; black caterpillar hunter; fiery hunter beetle; cold-country caterpillar hunter; wilcox's spring caterpillar hunter; agreeable caterpillar hunter; forest caterpillar hunter; roaming caterpiller hunter; sycophant; caterpillar hunters; starred caterpillar hunter; flatneck caterpillar hunter; metallic caterpillar hunter; africa-wide caterpillar hunter; roaming caterpillar hunter; caterpillar hunter beetles; say's caterpillar hunter; fiery hunter; fiery searcher beetle; splendid caterpillar hunter; texas green calosoma; wrinkle-winged calosoma,东方星步甲; 中华广肩步甲; 中华星步甲; 丽躯甲亚属; 丽躯甲属; 亮星步甲; 卡氏帝步甲; 大星步甲; 奇帝步甲; 奥氏星步甲; 库氏帝步甲; 彭氏帝步甲; 撒氏星步甲; 星步甲亚属; 星步甲属; 暗星步甲; 浅刻星步甲; 潘氏帝步甲; 炼星步甲; 疆星步甲; 短帝步甲; 红缘星步甲; 网帝步甲; 费氏帝步甲; 雅帝步甲; 青雅星步甲; 鸟帝步甲; 黑廣肩步行蟲,Beetles,True,
Cassida,thistle tortoise beetle; green tortoise beetle; centralspot tortoise beetle; small tortoise beetle; green thistle beetle; fleabane tortoise beetle; shiny tortoise beetles; timor tortoise beetle; pink plains cassidine,东北龟甲; 兴安台龟甲; 准小龟甲; 准杞龟甲; 凸胸驼龟甲; 单圈圆龟甲; 原野龜金花蟲; 双行小龟甲; 四枝台龟甲; 四紋龜金花蟲; 密点龟甲; 小窗龜金花蟲; 小褐龜甲; 小褐龜金花蟲; 山楂肋龟甲; 島嶼龜金花蟲; 峻坡小爪龟甲; 徐坡小爪龟甲; 日本龜金花蟲; 枸杞龟甲; 棕黄龟甲; 歪紋龜金花蟲; 洼鞘龟甲; 淡胸藜龟甲; 湖北蚌龟甲; 狭胸蓍龟甲; 甘肃蚌龟甲; 甘薯台龜甲 (甘藷龜金花蟲); 甘薯小绿龟甲; 甘藷龜金花蟲; 甜菜大龟甲; 甜菜小龟甲; 秦岭蚌龟甲; 稀点蚌龟甲; 紹德龜金花蟲; 绍德龟金花虫; 绿蚌龟甲; 胭胸台龟甲; 苹果台龟甲; 茶斑龜金花蟲; 蒙古龟甲; 蒿龟甲; 薄荷龟甲; 蘋果台龜甲; 虾钳菜披龟甲; 虾钳菜日龟甲; 血背龟甲; 角斑龜金花蟲; 金斑龜金花蟲; 金斑龟甲; 金翅龜金花蟲; 阔胸蓍龟甲; 高居长龟甲; 黑条龟甲; 黑盾长龟甲; 黑股小龟甲; 齿鞘龟甲; 龜甲屬; 龜金花蟲屬; 龟甲属,Beetles,True,
Cercyonis,common wood nymph; great basin wood-nymph; small wood-nymph; wood-nymphs; carson valley wood nymph; mead’s wood-nymph; dull-eyed grayling; ox-eyed satyr; little satyr; charon satyr; big smoky wood nymph; pallid wood nymph; walker river wood-nymph; common wood-nymph; little wood-nymph; small wood-nymph (phocus); white river wood nymph; behr's great basin wood nymph; utah wood-nymph; dark wood-nymph; dark wood nymph; santa cruz island wood-nymph; sylvan satyr; disguised wood-nymph,双眼蝶属,Butterflies,True,
Ceutorhynchus,turnip gall weevil; cabbage stem weevil; cabbage seed weevil; mysterious minute seed weevil; cabbage curculio; cabbage seedpod weevil; cabbage seedstalk curculio; lundy cabbage weevil,白纹龟象; 白菜籽龟象; 龟象属,Beetles,True,
Chihuo,none,枣尺蛾; 枣尺蛾属; 酸枣尺蛾; 酸枣尺蠖,Moths,True,
Chrysodeixis,soybean looper; soybean looper moth; green garden looper; tobacco looper; tomato looper; golden twin-spot; tunbridge wells gem; australian cabbage looper; silver u; silver y moth; tomato semilooper,光銀灰夜蛾; 南方銀灰夜蛾; 南方錁夜蛾; 南方锞夜蛾; 南方锞纹夜蛾; 台湾锞纹夜蛾; 台灣銀灰夜蛾; 富丽银纹夜蛾; 小銀灰夜蛾; 明银辉夜蛾; 毛银辉夜蛾; 烟银灰夜蛾; 煙銀灰夜蛾; 臺灣銀灰夜蛾; 銀灰夜蛾屬; 銳齒灰夜蛾; 银辉夜蛾属; 锞纹夜蛾属; 黄豆银纹夜蛾,Moths,True,
Cicadella,green leafhopper; green hazelnut leafhopper,大青叶蝉; 大青葉蟬,Leafhoppers,True,
Corticeus,overlooked darkling beetle,皮下甲属; 皮谷甲屬; 艷擬榖盜屬,Beetles,True,
Tachinus,none,东洋圆胸隐翅虫; 圆胸隐翅虫属,Beetles,True,
Temenis,orange banner,黄褐余蛱蝶,Butterflies,True,
Triaenodes,athens caddisfly; three-tooth caddisfly; bicolor sedge; funeral long-horned caddisfly; three-tooth triaenodes caddisfly; bordered long-horned caddisfly; aba's long-horned caddisfly; wrong long-horned caddisfly,叉长角石蛾属,Flies,True,
Trisuloides,none,台灣后夜蛾; 后夜蛾; 后夜蛾属; 后夜蛾屬; 杉氏后夜蛾,Moths,True,
Urgleptes,oak long-horned beetle,none,Beetles,True,
Zizeeria,dark grass blue; sooty blue; african grass blue; spotted grass-blue,吉灰蝶; 吉灰蝶属; 吉灰蝶屬,Butterflies,True,
Prociphilus,woolly alder aphid; snow insect; leafcurl ash aphid; woolly ash aphid; maple blight aphid; eurasian woolly honeysuckle aphid; woolly aphids,卷叶绵蚜属; 女贞卷叶绵蚜; 山楂卷叶绵蚜; 忍冬卷叶绵蚜; 捲葉綿蚜屬; 松根卷叶绵蚜; 梨卷叶绵蚜; 洋白蜡卷叶绵蚜,Aphids,True,
Pseudonacaduba,african line blue; dusky blue; dusky line blue,none,Butterflies,True,
Psilogramma,privet hawk moth; australasian privet hawkmoth; privet hawkmoth; large brown hawkmoth; plain grey hawkmoth,丁香天蛾; 印支霜天蛾; 大霜天蛾; 細斜紋霜天蛾; 霜天蛾; 霜天蛾属; 霜天蛾屬; 霜降天蛾,Moths,True,
Ramphocelus,crimson-backed tanager; brazilian tanager; silver-beaked tanager; flame-rumped tanager; black-bellied tanager; masked crimson tanager; crimson-collared tanager; lemon-rumped tanager; silver-billed tanagers; huallaga tanager; scarlet-rumped tanager; passerini's tanager; cherrie's tanager; coiba crimson-backed tanager; brazilian tanager (dorsalis); crimson-backed × scarlet-rumped tanager; crimson-backed × flame-rumped tanager,巴西厚嘴唐纳雀; 火腰厚嘴唐纳雀; 红腰厚嘴唐纳雀; 绯红厚嘴唐纳雀; 绯背厚嘴唐纳雀; 绯领厚嘴唐纳雀; 银嘴唐纳雀; 黑腹厚嘴唐纳雀,Birds,True,
Ruizanthedella,mutable hairy-eyed sweat bee,none,Bees,True,
Scadra,red-margined assassin bug,双斑斯猎蝽; 斯猎蝽属; 朱斯猎蝽; 沖繩斯獵椿象; 红斯猎蝽; 褐斯猎蝽; 褐斯獵蝽,Bugs,True,
Scathophaga,yellow dung fly; golden dung fly; african dungfly; furcate dung fly,粪蝇属; 糞蠅屬; 黃糞蠅; 黄粪蝇,Flies,True,
Sciocoris,sand-runner shieldbug,印度片蝽; 宽头片蝽; 片蝽属,Bugs,True,
Sitta,white-breasted nuthatch; pygmy nuthatch; red-breasted nuthatch; eurasian nuthatch; blue nuthatch; western rock nuthatch; velvet-fronted nuthatch; brown-headed nuthatch; sulphur-billed nuthatch; persian nuthatch; kashmir nuthatch; beautiful nuthatch; white-tailed nuthatch; algerian nuthatch; giant nuthatch; chestnut-vented nuthatch; rock nuthatch; yellow-billed nuthatch; white-browed nuthatch; snowy-browed nuthatch; corsican nuthatch; yunnan nuthatch; przevalski's nuthatch; burmese nuthatch; krüper's nuthatch; krueper's nuthatch; slender-billed white-breasted nuthatch; eastern rock nuthatch; nuthatches; white-cheeked nuthatch; indian nuthatch; chestnut-bellied nuthatch; eastern white-breasted nuthatch; carolina nuthatch; eastern rock-nuthatch; wood nuthatch; chinese nuthatch; interior west white-breasted nuthatch; cordilleran white-breasted nuthatch; white-breasted black-capped nuthatch; californian nuthatch; krã¼per's nuthatch; mexican white-breasted nuthatch; devil downhead; common nuthatch; great rock nuthatch; persian rock nuthatch; nuthatch; yellow-billed nuthatch (hainan); bahama nuthatch; western eurasian nuthatch; alnu; black-eared nuthatch; san pedro nuthatch; san lucas nuthatch; white-naped nuthatch; siberian nuthatch; taiga nuthatch; arctic nuthatch; eurasian nuthatch (siberian); sakha nuthatch; velvet-fronted nuthatch (bornean); velvet-fronted nuthatch (javan); velvet-fronted nuthatch (palawan); velvet-fronted nuthatch (malay); velvet-fronted nuthatch (indian); pacific white-breasted nuthatch; blue nuthatch (common); blue nuthatch (west javan); blue nuthatch (east javan); kabyle nuthatch; inyo nuthatch; neglected nuthatch,䴓属; 丽䴓; 侏儒䴓; 克什米尔䴓; 克氏䴓; 印度䴓; 喜山䴓; 天藍鳾; 岛䴓; 岩䴓; 巨䴓; 普通䴓; 普通䴓 （黑龙江亚种）; 普通鳾; 普通鳾（欧洲亚种）; 栗腹䴓; 栗臀䴓; 栗臀鳾; 棕头䴓; 淡紫䴓; 滇䴓; 滇鳾; 白头䴓; 白尾䴓; 白眉䴓; 白胸䴓; 白胸鳾; 白脸䴓; 硫磺嘴䴓; 紅胸鳾; 絨額鳾; 红胸䴓; 绒额䴓; 缅甸䴓; 茶腹鳾; 茶腹鳾(台灣亞種); 蓝䴓; 西伯利亚䴓; 西部岩䴓; 阿尔及利亚䴓; 鳾属; 鳾屬; 黑头䴓; 黑头鳾,Birds,True,
Spectralia,spectralia purpurascens,none,Beetles,True,
Tachyerges,none,杨潜叶跳象,Beetles,True,
Tajuria,peacock royal; plains blue royal; felder's royal; influent royal; uncertain royal; flash royal; indian plains blue royal; spotted royal; straightline royal; indian peacock royal; branded royal; pale blue royal,假漣紋青灰蝶; 双尾灰蝶; 双尾灰蝶属; 台灣漣小灰蝶; 台灣漣漪小灰蝶; 和田双尾灰蝶; 天蓝双尾灰蝶; 宙斯青灰蝶; 淡蓝双尾灰蝶; 淡藍雙尾灰蝶; 漣灰蝶; 漣紋小灰蝶; 漣紋青灰蝶; 漣紋青灰蝶 (指名亞種); 白日双尾灰蝶; 白日雙尾灰蝶; 白腹青灰蝶; 白裡青灰蝶; 臺灣漣小灰蝶; 臺灣漣漪小灰蝶; 花蓮小灰蝶; 花蓮青小灰蝶; 褐底青灰蝶; 褐翅青灰蝶; 豹斑双尾灰蝶; 豹斑雙尾灰蝶; 雙尾灰蝶; 雙尾灰蝶屬 (青灰蝶屬),Butterflies,True,
Tetrops,plum beetle; ash longhorn beetle,小柱天牛属,Beetles,True,
Tomostethus,brownheaded ash sawfly; black ash sawfly,敛片叶蜂属; 桂花叶蜂属; 白蜡敛片叶蜂; 黄肩敛片叶蜂; 黑毛敛片叶蜂,Wasps,True,
Potanthus,lesser band dart; yellow band dart; chinese dart; confucian dart; lesser dart; large dart; indian dart; detached dart; ganda dart; japanese dart; oblique-branded dart; zigzag-banded dart; overlapped dart; tropic dart; lydia dart; pallid dart; sikkim dart; vestigial-spot dart; bush dart; darts,台灣黃斑弄蝶; 墨子黃斑弄蝶; 奥玛室弄蝶; 孔子黃室弄蝶; 孔子黄室弄蝶; 宽纹黄室弄蝶; 寬紋黃室弄蝶; 尖翅黄室弄蝶; 断纹黄室弄蝶; 斷紋黃室弄蝶; 曲纹黄室弄蝶; 木黃室弄蝶; 木黄室弄蝶; 淡色黃斑弄蝶; 淡黃斑弄蝶; 直纹黄室弄蝶; 細帶黃斑弄蝶; 蓬莱黄斑弄蝶; 蓬萊黃斑弄蝶; 鋸紋黃室弄蝶; 黃斑弄蝶屬; 黄室弄蝶属,Butterflies,True,
Pristomerus,none,中华齿腿姬蜂; 广齿腿姬蜂; 齒腿姬蜂屬; 齿腿姬蜂属,Wasps,True,
Psilopogon,fire-tufted barbet; turquoise-throated barbet; black-browed barbet; indochinese barbet; blue-throated barbet; chinese barbet; taiwan barbet; moustached barbet; gold-whiskered barbet; brown-throated barbet; mountain barbet; yellow-fronted barbet; white-cheeked barbet; brown-headed barbet; lineated barbet; green-eared barbet; flame-fronted barbet; yellow-crowned barbet; golden-naped barbet; black-banded barbet; red-throated barbet; red-crowned barbet; red-vented barbet; great barbet; bornean barbet; little barbet; black-eared barbet; coppersmith barbet; crimson-fronted barbet; malabar barbet; ceylon small barbet; typical asian barbets; golden-throated barbet (violet-eared); violet-eared barbet; gold-faced barbet; blue-throated barbet (blue-crowned); necklaced barbet; golden-throated barbet; golden-throated barbet (himalayan); fifth bird; gold-whiskered barbet (gold-faced); gold-whiskered barbet (sumatran); gold-whiskered barbet (malayan); coppersmith barbet (mindanao); blue-eared barbet; yellow-eared barbet; indian coppersmith barbet; lineated barbet (common); lineated barbet (javan); black-eared barbet (common); black-eared barbet (nias); black-eared barbet (batu); coppersmith barbet (javan red-faced); coppersmith barbet (cebu); coppersmith barbet (sumatran); coppersmith barbet (tablas); coppersmith barbet (east philippine yellow-faced); coppersmith barbet (north philippine yellow-faced); coppersmith barbet (mindanao yellow-faced); coppersmith barbet (central philippine red-faced); coppersmith barbet (cebu red-faced); coppersmith barbet (sumatran yellow-faced); coppersmith barbet (tablas red-faced); coppersmith barbet (common yellow-faced); red-throated barbet (common); red-throated barbet (batu),中國擬啄木; 丽色拟䴕; 五色鳥; 印尼蓝喉拟啄木鸟; 印支拟啄木鸟; 台湾拟啄木鸟; 台灣擬啄木; 大拟啄木鸟; 大擬啄木鳥; 小綠擬啄木; 小绿拟鴷; 山拟䴕; 山擬啄木; 拟啄木鸟属; 擬鴷屬; 斑头绿拟啄木鸟; 斑頭綠擬啄木; 東南亞擬啄木; 火簇拟啄木鸟; 火簇擬啄木; 环喉拟啄木鸟; 環喉擬啄木; 紅喉擬啄木; 紅臀擬啄木; 綠喉擬啄木; 綠耳擬啄木; 緋喉擬啄木; 線紋擬啄木; 红臀拟鴷; 绯喉拟啄木鸟; 绿拟啄木鸟; 花彩拟䴕; 花彩擬啄木; 蓝喉拟啄木鸟; 蓝耳拟啄木鸟; 蓝顶拟䴕; 藍喉擬啄木; 藍耳擬啄木; 藍頂擬啄木; 褐喉擬啄木; 赤胸拟啄木鸟; 赤胸擬啄木; 金喉拟啄木鸟; 金喉擬啄木; 金枕拟鴷; 金頰擬啄木; 金頸擬啄木; 金须拟鴷; 馬拉巴擬啄木; 马拉巴拟啄木鸟; 马来拟啄木鸟; 髭藍喉擬啄木; 黃耳擬啄木; 黃頂擬啄木; 黃額擬啄木; 黄纹拟啄木鸟; 黄耳拟啄木鸟; 黄顶拟䴕; 黄额拟䴕; 黑喉擬啄木; 黑斑拟䴕; 黑斑擬啄木; 黑眉拟啄木鸟; 黑眉拟啄木鸟（海南亚种）; 黑眉擬啄木; 黑耳擬啄木,Birds,True,
Pyrops,red-nosed lanternfly; green snout lanternfly; dark-horned lanternfly; watanabe's lanternfly; litchi lantern bug; pyrops lanternflies; white ghost lanternfly; blood-red lanternfly,东方蜡蝉属; 君主东方蜡蝉; 尖峰岭东方蜡蝉; 弧头蜡蝉; 弧頭蠟蟬; 懷特氏東方蠟蟬; 東方蠟蟬; 東方蠟蟬屬; 棒头蜡蝉; 渡邊氏東方蠟蟬; 渡邊長吻白蠟蟬; 白翅蜡蝉; 翠绿东方蜡蝉; 芒果鸡; 菲律宾蜡蝉; 長鼻子; 長鼻蠟蟬; 长鼻蜡蝉; 黑翅蜡蝉; 龍眼雞; 龙眼鸡,Planthoppers,True,
Pyropyga,dark firefly; flower elf; black-bordered elf; sneaky elf,none,Beetles,True,
Scellus,none,齿角水长足虻属,Flies,True,
Scolia,yellow-banded scoliid wasp; blood-tailed scoliid wasp; two-spotted scoliid wasp; yellow-headed flower wasp; blue-winged scoliid wasp; blue-winged wasp; noble scoliid wasp; double-banded scoliid wasp,中华土蜂; 中華土蜂; 双斑土蜂; 台湾土蜂; 四斑土蜂; 四斑土蜂（指名亞種）; 土蜂属; 土蜂屬; 大斑土蜂; 布农土蜂; 布農土蜂; 斯式土蜂; 施氏土蜂; 显贵土蜂; 橙頭土蜂屬; 浅刻土蜂; 淺刻土蜂; 淺刻土蜂（指名亞種）; 犬野土蜂; 眼斑土蜂; 硕胡蜂; 臺灣土蜂; 花斑土蜂; 近緣土蜂; 近缘土蜂; 間色腹土蜂; 间色黑土蜂; 顯貴土蜂; 黃體土蜂; 黄体土蜂,Wasps,True,
Stichophthalma,jungle queens; godfrey's jungle queen; northern jungle queen; oriental jungle queen; nurinissa junglequeen; cambodian junglequeen,华西箭环蝶; 双星箭环蝶; 喜马箭环蝶; 心斑箭环蝶; 斯巴达箭环蝶; 環紋蝶; 環蝶; 白兜箭环蝶; 白袖箭环蝶; 箭环蝶; 箭环蝶属; 箭环蝶（台湾亚种）; 箭环蝶（指名亚种）; 箭環蝶; 箭環蝶 (臺灣亞種); 箭環蝶屬; 華西箭環蝶; 黎箭环蝶,Butterflies,True,
Systropha,lesser bindweed bee; greater bindweed bee; spiral-horned bees,none,Bees,True,
Anaea,goatweed leafwing butterfly; tropical leafwing butterfly; florida leafwing butterfly; tropical leafwing; goatweed leafwing; florida leafwing; cuban leafwing; hispaniolan leafwing; puerto rican leafwing; virgin islands leafwing; lesser antillean leafwing; jamaican leafwing,安蛱蝶属; 安达安蛱蝶; 红矩安蛱蝶; 艾地安蛱蝶,Butterflies,True,
Anaxyrus,oak toad; red-spotted toad; woodhouse's toad; green toad; texas toad; houston toad; amargosa toad; great plains toad; wyoming toad; sonoran green toad; black toad; american toad; arizona toad; southwestern toad; arroyo toad; yosemite toad; fowler's toad; southern toad; western toad; arroyo southwestern toad; canadian toad; little mexican toad; southwestern woodhouse's toad; east texas toad; rocky mountain toad; dwarf american toad; eastern american toad; boreal toad; southern california toad; north american toads; california toad; western woodhouse's toad; dixie valley toad; plateau toad; eastern green toad; western green toad; woodhouse’s toad; railroad valley toad; hot creek toad; fowler's and woodhouse's toads; chihuahuan green toad; north american green toad; inyo toad; deep springs toad; western chihuahuan green toad; hudson bay american toad; hudson bay toad,亚利桑那蟾蜍; 休斯敦蟾蜍; 侏儒美洲蟾蜍; 内华达蟾蜍; 凯氏蟾蜍; 加州蟾蜍; 加拿大蟾蜍; 北美蟾属; 北美蟾屬; 南方蟾蜍; 因约蟾蜍; 固蟾蜍; 墨西哥蟾蜍; 大平原蟾蜍; 奇瓦瓦绿蟾蜍; 威氏蟾蜍; 嫩绿蟾蜍; 嫩绿蟾蜍指名（东部）亚种; 嫩绿蟾蜍西部亚种; 小掘蟾蜍; 峡谷蟾蜍; 巴氏蟾蜍; 庭园蟾蜍; 庭园蟾蜍南方亚种; 庭园蟾蜍指名亚种; 德州蟾蜍; 怀俄明蟾蜍; 旱谷蟾蜍; 橡蟾蜍; 热溪蟾蜍; 福氏蟾蜍; 福氏蟾蜍复合群; 类饰蟾蜍; 约塞米蒂蟾蜍; 纳氏蟾蜍; 网样蟾蜍; 美国蟾蜍; 美國蟾蜍; 美洲蟾蜍侏儒亚种; 美洲蟾蜍属; 美洲蟾蜍指名（东部）亚种; 美西蟾蜍; 落基山蟾蜍; 西北蟾蜍; 西南庭园蟾蜍; 西南蟾蜍; 谐蟾蜍; 达科他蟾蜍; 陆蟾蜍; 黑蟾蜍,Frogs,True,
Annaphila,white annaphila,none,Moths,True,
Astygisa,none,奥阿尺蛾,Moths,True,
Boissonneaua,buff-tailed coronet; velvet-purple coronet; chestnut-breasted coronet; coronets; buff-tailed × velvet-purple coronet,栗胸冕蜂鳥; 栗胸冕蜂鸟; 紫冕蜂鸟; 黄尾冕蜂鸟,Birds,True,
Brachiacantha,white-fronted spurleg; ursine spurleg; arizona spurleg; lepidine spurleg lady beetle; spurleg lady beetles; four-spotted spurleg; semi-banded spurleg; ten-spotted spurleg; ute western spurleg; florida oak spurleg; orange-spotted lady beetle; decorated spurleg; corner-spotted spurleg; t-marked spurleg; texas ten-spotted spurleg; confluent-spotted spurleg; small-spotted spurleg,none,Beetles,True,
Brachythemis,southern banded groundling; ditch jewel; northern banded groundling; dark-winged groundling; common amberwing; red groundling; banded groundling; swamp groundling; groundlings,褐斑蜻蜓; 黃翅蜻  (褐斑蜻蜓); 黄翅蜻; 黄翅蜻属,Dragonflies,True,
Cautethia,grote's sphinx; grote's sphinx moth; spurious sphinx,none,Moths,True,
Orchisia,none,缘秽蝇属; 黑缘秽蝇,Flies,True,
Pachodynerus,red and black mason wasp; red-marked pachodynerus mason wasp; keyhole wasp; red-marked pachodynerus wasp,none,Wasps,True,
Palirisa,none,灰褐带蛾; 褐带蛾; 褐带蛾属; 褐带蛾（台湾亚种）; 褐帶蛾; 褐帶蛾屬; 黑胸帶蛾; 黑胸帶蛾（臺灣亞種）,Moths,True,
Phobetron,hag moth; monkey slug; monkey slug moth,none,Moths,True,
Prolita,six-spot groundling,none,Moths,True,
Bembecia,six-belted clearwing,兆纹透翅蛾; 纹透翅蛾属; 豆纹透翅蛾; 金黄纹透翅蛾,Moths,True,
Stenopelmus,water fern weevil; azolla weevil,none,Beetles,True,
Stichopogon,three-banded robber fly; three-banded pirate; silvery pirate,別鈎食蟲虻屬; 华丽微食虫虻; 微食虫虻属,Flies,True,
Tethya,golf ball sponge; orange puffball sponge; california puffball sponge; pink golf ball sponge; orange golf ball sponge; common cheese puff sponge; puffball sponges; brazilian puffball sponge; red golfball sponge,强壮荔枝海绵; 荔枝海绵; 荔枝海绵属,Sponges,True,
